fips,year,wuiClass,variable,value
6009,1975,3,num houses,81
6009,1975,4,num houses,282
6009,1975,5,num houses,2617
6009,1975,6,num houses,19737
6009,1975,7,num houses,5152
6009,1975,total,num houses,27869
6009,1985,1,num houses,0
6009,1985,2,num houses,0
6009,1985,3,num houses,82
6009,1985,4,num houses,299
6009,1985,5,num houses,2415
6009,1985,6,num houses,24260
6009,1985,7,num houses,6597
6009,1985,total,num houses,33653
6009,1995,1,num houses,0
6009,1995,2,num houses,0
6009,1995,3,num houses,83
6009,1995,4,num houses,308
6009,1995,5,num houses,2141
6009,1995,6,num houses,25268
6009,1995,7,num houses,12018
6009,1995,total,num houses,39818
6009,2005,1,num houses,0
6009,2005,2,num houses,0
6009,2005,3,num houses,83
6009,2005,4,num houses,314
6009,2005,5,num houses,2241
6009,2005,6,num houses,24726
6009,2005,7,num houses,16676
6009,2005,total,num houses,44040
6009,2015,1,num houses,0
6009,2015,2,num houses,0
6009,2015,3,num houses,83
6009,2015,4,num houses,319
6009,2015,5,num houses,1819
6009,2015,6,num houses,26694
6009,2015,7,num houses,17700
6009,2015,total,num houses,46615
6009,2019,1,num houses,0
6009,2019,2,num houses,0
6009,2019,3,num houses,83
6009,2019,4,num houses,319
6009,2019,5,num houses,1819
6009,2019,6,num houses,26698
6009,2019,7,num houses,17700
6009,2019,total,num houses,46619
6011,1975,1,num houses,17
6011,1975,2,num houses,40
6011,1975,3,num houses,509
6011,1975,4,num houses,854
6011,1975,5,num houses,2409
6011,1975,6,num houses,8309
6011,1975,7,num houses,0
6011,1975,total,num houses,12138
6011,1985,1,num houses,17
6011,1985,2,num houses,40
6011,1985,3,num houses,512
6011,1985,4,num houses,866
6011,1985,5,num houses,2459
6011,1985,6,num houses,9080
6011,1985,7,num houses,0
6011,1985,total,num houses,12974
6011,1995,1,num houses,17
6011,1995,2,num houses,43
6011,1995,3,num houses,519
6011,1995,4,num houses,876
6011,1995,5,num houses,2535
6011,1995,6,num houses,9714
6011,1995,7,num houses,0
6011,1995,total,num houses,13704
6011,2005,1,num houses,18
6011,2005,2,num houses,47
6011,2005,3,num houses,533
6011,2005,4,num houses,899
6011,2005,5,num houses,2659
6011,2005,6,num houses,10324
6011,2005,7,num houses,0
6011,2005,total,num houses,14480
6011,2015,1,num houses,18
6011,2015,2,num houses,0
6011,2015,3,num houses,589
6011,2015,4,num houses,909
6011,2015,5,num houses,2799
6011,2015,6,num houses,10826
6011,2015,7,num houses,0
6011,2015,total,num houses,15141
6011,2019,1,num houses,18
6011,2019,2,num houses,0
6011,2019,3,num houses,589
6011,2019,4,num houses,909
6011,2019,5,num houses,2800
6011,2019,6,num houses,10828
6011,2019,7,num houses,0
6011,2019,total,num houses,15144
6013,1975,1,num houses,0
6013,1975,2,num houses,0
6013,1975,3,num houses,0
6013,1975,4,num houses,0
6013,1975,5,num houses,772
6013,1975,6,num houses,5006
6013,1975,7,num houses,193015
6013,1975,total,num houses,198793
6013,1985,1,num houses,0
6013,1985,2,num houses,0
6013,1985,3,num houses,0
6013,1985,4,num houses,0
6013,1985,5,num houses,824
6013,1985,6,num houses,7269
6013,1985,7,num houses,245019
6013,1985,total,num houses,253112
6013,1995,1,num houses,0
6013,1995,2,num houses,0
6013,1995,3,num houses,0
6013,1995,4,num houses,0
6013,1995,5,num houses,444
6013,1995,6,num houses,6656
6013,1995,7,num houses,299518
6013,1995,total,num houses,306618
6013,2005,1,num houses,0
6013,2005,2,num houses,0
6013,2005,3,num houses,0
6013,2005,4,num houses,0
6013,2005,5,num houses,450
6013,2005,6,num houses,8256
6013,2005,7,num houses,339725
6013,2005,total,num houses,348431
6013,2015,1,num houses,0
6013,2015,2,num houses,0
6013,2015,3,num houses,0
6013,2015,4,num houses,0
6013,2015,5,num houses,451
6013,2015,6,num houses,8997
6013,2015,7,num houses,357794
6013,2015,total,num houses,367242
6013,2019,1,num houses,0
6013,2019,2,num houses,0
6013,2019,3,num houses,0
6013,2019,4,num houses,0
6013,2019,5,num houses,451
6013,2019,6,num houses,9346
6013,2019,7,num houses,360066
6013,2019,total,num houses,369863
6015,1975,1,num houses,165
6015,1975,2,num houses,83
6015,1975,3,num houses,153
6015,1975,4,num houses,135
6015,1975,5,num houses,1054
6015,1975,6,num houses,544
6015,1975,7,num houses,0
6015,1975,total,num houses,2134
6015,1985,1,num houses,165
6015,1985,2,num houses,83
6015,1985,3,num houses,153
6015,1985,4,num houses,135
6015,1985,5,num houses,1054
6015,1985,6,num houses,544
6015,1985,7,num houses,0
6015,1985,total,num houses,2134
6015,1995,1,num houses,165
6015,1995,2,num houses,83
6015,1995,3,num houses,153
6015,1995,4,num houses,135
6015,1995,5,num houses,1054
6015,1995,6,num houses,544
6015,1995,7,num houses,0
6015,1995,total,num houses,2134
6015,2005,1,num houses,165
6015,2005,2,num houses,83
6015,2005,3,num houses,153
6015,2005,4,num houses,135
6015,2005,5,num houses,1054
6015,2005,6,num houses,544
6015,2005,7,num houses,0
6015,2005,total,num houses,2134
6015,2015,1,num houses,165
6015,2015,2,num houses,83
6015,2015,3,num houses,153
6015,2015,4,num houses,135
6015,2015,5,num houses,1054
6015,2015,6,num houses,544
6015,2015,7,num houses,0
6015,2015,total,num houses,2134
6015,2019,1,num houses,165
6015,2019,2,num houses,83
6015,2019,3,num houses,153
6015,2019,4,num houses,135
6015,2019,5,num houses,1054
6015,2019,6,num houses,544
6015,2019,7,num houses,0
6015,2019,total,num houses,2134
6017,1975,1,num houses,48
6017,1975,2,num houses,203
6017,1975,3,num houses,246
6017,1975,4,num houses,284
6017,1975,5,num houses,2928
6017,1975,6,num houses,23449
6017,1975,7,num houses,67390
6017,1975,total,num houses,94548
6017,1985,1,num houses,50
6017,1985,2,num houses,209
6017,1985,3,num houses,248
6017,1985,4,num houses,106
6017,1985,5,num houses,2389
6017,1985,6,num houses,21943
6017,1985,7,num houses,86279
6017,1985,total,num houses,111224
6017,1995,1,num houses,50
6017,1995,2,num houses,209
6017,1995,3,num houses,249
6017,1995,4,num houses,106
6017,1995,5,num houses,2611
6017,1995,6,num houses,23594
6017,1995,7,num houses,99573
6017,1995,total,num houses,126392
6017,2005,1,num houses,50
6017,2005,2,num houses,209
6017,2005,3,num houses,249
6017,2005,4,num houses,106
6017,2005,5,num houses,2216
6017,2005,6,num houses,23566
6017,2005,7,num houses,115870
6017,2005,total,num houses,142266
6017,2015,1,num houses,50
6017,2015,2,num houses,209
6017,2015,3,num houses,249
6017,2015,4,num houses,106
6017,2015,5,num houses,2270
6017,2015,6,num houses,24745
6017,2015,7,num houses,123071
6017,2015,total,num houses,150700
6017,2019,1,num houses,50
6017,2019,2,num houses,209
6017,2019,3,num houses,249
6017,2019,4,num houses,106
6017,2019,5,num houses,2271
6017,2019,6,num houses,24827
6017,2019,7,num houses,124094
6017,2019,total,num houses,151806
6019,1975,1,num houses,72
6019,1975,2,num houses,178
6019,1975,3,num houses,1337
6019,1975,4,num houses,3937
6019,1975,5,num houses,8717
6019,1975,6,num houses,34393
6019,1975,7,num houses,140652
6019,1975,total,num houses,189286
6019,1985,1,num houses,73
6019,1985,2,num houses,155
6019,1985,3,num houses,1279
6019,1985,4,num houses,3829
6019,1985,5,num houses,8679
6019,1985,6,num houses,38846
6019,1985,7,num houses,168427
6019,1985,total,num houses,221288
6019,1995,1,num houses,73
6019,1995,2,num houses,156
6019,1995,3,num houses,1201
6019,1995,4,num houses,4007
6019,1995,5,num houses,9180
6019,1995,6,num houses,36212
6019,1995,7,num houses,208825
6019,1995,total,num houses,259654
6019,2005,1,num houses,74
6019,2005,2,num houses,159
6019,2005,3,num houses,1111
6019,2005,4,num houses,4141
6019,2005,5,num houses,8417
6019,2005,6,num houses,36986
6019,2005,7,num houses,236070
6019,2005,total,num houses,286958
6019,2015,1,num houses,74
6019,2015,2,num houses,159
6019,2015,3,num houses,1111
6019,2015,4,num houses,4142
6019,2015,5,num houses,7934
6019,2015,6,num houses,37570
6019,2015,7,num houses,236100
6019,2015,total,num houses,287090
6019,2019,1,num houses,74
6019,2019,2,num houses,159
6019,2019,3,num houses,1111
6019,2019,4,num houses,4142
6019,2019,5,num houses,7935
6019,2019,6,num houses,37575
6019,2019,7,num houses,236102
6019,2019,total,num houses,287098
6021,1975,1,num houses,0
6021,1975,2,num houses,0
6021,1975,3,num houses,559
6021,1975,4,num houses,872
6021,1975,5,num houses,3223
6021,1975,6,num houses,7960
6021,1975,7,num houses,0
6021,1975,total,num houses,12614
6021,1985,1,num houses,0
6021,1985,2,num houses,0
6021,1985,3,num houses,562
6021,1985,4,num houses,889
6021,1985,5,num houses,3383
6021,1985,6,num houses,2618
6021,1985,7,num houses,6587
6021,1985,total,num houses,14039
6021,1995,1,num houses,0
6021,1995,2,num houses,0
6021,1995,3,num houses,464
6021,1995,4,num houses,1010
6021,1995,5,num houses,3524
6021,1995,6,num houses,2980
6021,1995,7,num houses,7135
6021,1995,total,num houses,15113
6021,2005,1,num houses,0
6021,2005,2,num houses,0
6021,2005,3,num houses,467
6021,2005,4,num houses,1030
6021,2005,5,num houses,3186
6021,2005,6,num houses,3857
6021,2005,7,num houses,7535
6021,2005,total,num houses,16075
6021,2015,1,num houses,0
6021,2015,2,num houses,0
6021,2015,3,num houses,469
6021,2015,4,num houses,1038
6021,2015,5,num houses,3249
6021,2015,6,num houses,4180
6021,2015,7,num houses,7987
6021,2015,total,num houses,16923
6021,2019,1,num houses,0
6021,2019,2,num houses,0
6021,2019,3,num houses,469
6021,2019,4,num houses,1041
6021,2019,5,num houses,3252
6021,2019,6,num houses,4191
6021,2019,7,num houses,8013
6021,2019,total,num houses,16966
6023,1975,1,num houses,53
6023,1975,2,num houses,408
6023,1975,3,num houses,904
6023,1975,4,num houses,4675
6023,1975,5,num houses,9941
6023,1975,6,num houses,19577
6023,1975,7,num houses,41005
6023,1975,total,num houses,76563
6023,1985,1,num houses,53
6023,1985,2,num houses,408
6023,1985,3,num houses,905
6023,1985,4,num houses,4676
6023,1985,5,num houses,9944
6023,1985,6,num houses,19579
6023,1985,7,num houses,41005
6023,1985,total,num houses,76570
6023,1995,1,num houses,53
6023,1995,2,num houses,408
6023,1995,3,num houses,908
6023,1995,4,num houses,4676
6023,1995,5,num houses,9946
6023,1995,6,num houses,19584
6023,1995,7,num houses,41005
6023,1995,total,num houses,76580
6023,2005,1,num houses,53
6023,2005,2,num houses,408
6023,2005,3,num houses,908
6023,2005,4,num houses,4676
6023,2005,5,num houses,9947
6023,2005,6,num houses,19585
6023,2005,7,num houses,41005
6023,2005,total,num houses,76582
6023,2015,1,num houses,53
6023,2015,2,num houses,408
6023,2015,3,num houses,908
6023,2015,4,num houses,4676
6023,2015,5,num houses,9949
6023,2015,6,num houses,19586
6023,2015,7,num houses,41005
6023,2015,total,num houses,76585
6023,2019,1,num houses,53
6023,2019,2,num houses,408
6023,2019,3,num houses,909
6023,2019,4,num houses,4676
6023,2019,5,num houses,9949
6023,2019,6,num houses,19586
6023,2019,7,num houses,41005
6023,2019,total,num houses,76586
6025,1975,1,num houses,282
6025,1975,2,num houses,971
6025,1975,3,num houses,1788
6025,1975,4,num houses,1578
6025,1975,5,num houses,7584
6025,1975,6,num houses,13706
6025,1975,7,num houses,62020
6025,1975,total,num houses,87929
6025,1985,1,num houses,282
6025,1985,2,num houses,971
6025,1985,3,num houses,1788
6025,1985,4,num houses,1579
6025,1985,5,num houses,7584
6025,1985,6,num houses,13775
6025,1985,7,num houses,62560
6025,1985,total,num houses,88539
6025,1995,1,num houses,282
6025,1995,2,num houses,971
6025,1995,3,num houses,1788
6025,1995,4,num houses,1579
6025,1995,5,num houses,7584
6025,1995,6,num houses,13817
6025,1995,7,num houses,62713
6025,1995,total,num houses,88734
6025,2005,1,num houses,282
6025,2005,2,num houses,971
6025,2005,3,num houses,1788
6025,2005,4,num houses,1579
6025,2005,5,num houses,7584
